team,player_name
CSK,MS Dhoni
CSK,Parthiv Patel
CSK,Abhinav Mukund
CSK,Srikkanth Anirudha
CSK,Subramaniam Badrinath
CSK,Suresh Raina
CSK,Michael Hussey
CSK,Arun Karthik
CSK,Murali Vijay
CSK,George Bailey
CSK,Wriddhiman Saha
CSK,Faf du Plessis
CSK,Brendon McCullum
CSK,Mithun Manhas
CSK,Ankush Bains
CSK,Eklavya Dwivedi
CSK,Sam Billings
CSK,Narayan Jagadeesan
CSK,Ambati Rayudu
CSK,Dhruv Shorey
CSK,Ruturaj Gaikwad
CSK,C Hari Nishaanth
CSK,Cheteshwar Pujara
CSK,Robin Uthappa
CSK,Devon Conway
CSK,Subhranshu Senapati
CSK,Ajinkya Rahane
CSK,Shaik Rasheed
CSK,Avanish Rao Aravelly
CSK,Dewald Brevis
CSK,Vansh Bedi
CSK,Andre Siddarth
CSK,Rahul Tripathi
CSK,Ayush Mhatre
CSK,Urvil Patel
CSK,Sanju Samson
CSK,Kartik Sharma
CSK,Sarfaraz Khan
CSK,Ravichandran Ashwin
CSK,Albie Morkel
CSK,Jacob Oram
CSK,Thisara Perera
CSK,Scott Styris
CSK,Dwayne Bravo
CSK,Ravindra Jadeja
CSK,Chris Morris
CSK,Jason Holder
CSK,Vijay Shankar
CSK,John Hastings
CSK,Pawan Negi
CSK,David Hussey
CSK,Dwayne Smith
CSK,Kyle Abbott
CSK,Irfan Pathan
CSK,David Willey
CSK,Shardul Thakur
CSK,Chaitanya Bishnoi
CSK,Shane Watson
CSK,Harbhajan Singh
CSK,Kedar Jadhav
CSK,Mitchell Santner
CSK,Scott Kuggeleijn
CSK,Sai Kishore
CSK,Sam Curran
CSK,K Bhagath Varma
CSK,Moeen Ali
CSK,Krishnappa Gowtham
CSK,Dwaine Pretorius
CSK,Rajvardhan Hangargekar
CSK,Shivam Dube
CSK,Ben Stokes
CSK,Nishant Sindhu
CSK,Ajay Mandal
CSK,Rachin Ravindra
CSK,Sameer Rizvi
CSK,Daryl Mitchell
CSK,Anshul Kamboj
CSK,Deepak Hooda
CSK,Ramakrishna Ghosh
CSK,Jamie Overton
CSK,Kamlesh Nagarkoti
CSK,Prashant Veer
CSK,Matthew William Short
CSK,Aman Khan
CSK,Zak Foulkes
CSK,Joginder Sharma
CSK,Shadab Jakati
CSK,Sudeep Tyagi
CSK,Lakshmipathy Balaji
CSK,Manpreet Gony
CSK,Muttiah Muralitharan
CSK,Doug Bollinger
CSK,Yo Mahesh
CSK,Ben Hilfenhaus
CSK,Suraj Randiv
CSK,Nuwan Kulasekara
CSK,Tim Southee
CSK,Akila Dananjaya
CSK,Ankit Rajpoot
CSK,Mohit Sharma
CSK,Ronit More
CSK,Ben Laughlin
CSK,Dirk Nannes
CSK,Matt Henry
CSK,Ishwar Pandey
CSK,Samuel Badree
CSK,Ashish Nehra
CSK,Andrew Tye
CSK,Rahul Sharma
CSK,Imran Tahir
CSK,Deepak Chahar
CSK,KM Asif
CSK,Monu Kumar
CSK,Karn Sharma
CSK,Lungisani Ngidi
CSK,Mark Wood
CSK,Piyush Chawla
CSK,Josh Hazlewood
CSK,M Harishankar Reddy
CSK,Dominic Drakes
CSK,Chris Jordan
CSK,Adam Milne
CSK,Maheesh Theekshana
CSK,Mukesh Choudhary
CSK,Prashant Solanki
CSK,Simarjeet Singh
CSK,Tushar Deshpande
CSK,Matheesha Pathirana
CSK,Sisanda Magala
CSK,Kyle Jamieson
CSK,Richard Gleeson
CSK,Mustafizur Rahman
CSK,Shreyas Gopal
CSK,Nathan Ellis
CSK,Khaleel Ahmed
CSK,Noor Ahmad
CSK,Gurjapneet Singh
CSK,Akeal Hosein
DC,Virender Sehwag
DC,Dinesh Karthik
DC,AB De Villiers
DC,Shikhar Dhawan
DC,Gautam Gambhir
DC,Manoj Tiwary
DC,Mithun Manhas
DC,Yogesh Nagar
DC,Tillakaratne Dilshan
DC,Daniel Vettori
DC,Rajat Bhatia
DC,Yo Mahesh
DC,Pradeep Sangwan
DC,Owais Shah
DC,David Warner
DC,Paul Collingwood
DC,Andrew McDonald
DC,Amit Mishra
DC,Dirk Nannes
DC,Ashish Nehra
DC,Aavishkar Salvi
DC,Moises Henriques
DC,Kedar Jadhav
DC,Sarabjit Ladda
DC,Wayne Parnell
DC,Umesh Yadav
DC,Matthew Wade
DC,Naman Ojha
DC,Aaron Finch
DC,Colin Ingram
DC,Unmukt Chand
DC,Ajit Chandila
DC,Roelof Van Der Merwe
DC,Ajit Agarkar
DC,Irfan Pathan
DC,Venugopal Rao
DC,Morne Morkel
DC,Ashok Dinda
DC,Shahbaz Nadeem
DC,Varun Aaron
DC,Kevin Pietersen
DC,Mahela Jayawardene
DC,Manpreet Juneja
DC,Glenn Maxwell
DC,Andre Russell
DC,Pawan Negi
DC,Doug Bracewell
DC,Sunny Gupta
DC,Chidhambaram Gautam
DC,Bharat Chipli
DC,Johan Botha
DC,Jeevan Mendis
DC,Siddharth Kaul
DC,Quinton De Kock
